CODE #,CODE TYPE,NARRATIVE,M/F
38,PC,MISPRISION OF TREASON,F
37(A),PC,TREASON,F
173,PC,IMPORT FOREIGN CONVICTS,M
8 1325,US,ILLEGAL ENTRY,F
8 1324,US,ILLEGAL TRANSPORT ALIENS,F
8 1326,US,RE-ENTRY DEPORTED ALIEN,F
8 1251,US,DEPORTATION PROCEEDINGS,F
8 1304,US,FAIL CARRY ALIEN REG CERT,M
18 758,US,FLEE IMMIGRATN CHECKPOINT,F
18 1361,US,DAMAGE U.S. PROPERTY,F
36 261.10(E),US,FR:ABANDN PROP:NAT FOREST,M
36 4.22(B)(3),US,FR:UNSAFE CNTL MOTOR VEH,M
36 4.21(C),US,FR:OPR VEH EXCESS SPEED,M
36 4.30(D)(2),US,FR:OPR BIKE W/OUT LIGHT,M
36 2.35(A)(3)(III),US,FR:VIOLATION OF A CLOSURE,M
18 2424(A),US,FAIL FILE STMT RE:ALIEN,F
18 1705,US,DESTROY MAILBOX,F
36 4.30(D)(4),US,FR:OPR BIKE UND INF ALC,M
36 2.22(A)(3),US,FR:FAIL TURN IN FND PROP,M
36 4.22(B)(4)(2),US,FR:PASSENGER IN BED TRUCK,M
36 2.17(A)(3),US,FR:DEL/RETRIEVE BY AIR,M
17 506(A)(1)(A),US,COPYRIGHT INFRINGEMENT,F
18 1653,US,PIRACY/PRIVATEERING,F
18 1959(A),US,VIOL CRIME RACKETEERING,F
18 1952(A),US,FOREIGN TRAVEL RACKETEER,F
18 32,US,DESTR AIRCRAFT/FACILITY,F
18 1519,US,DESTR ETC RECORDS FED INV,F
25658(B),BP,MINOR BUY LIQUOR IN BAR,M
25665,BP,MINOR IN LIQUOR PREMISES,M
25661(A),BP,POSS/USE FALSE ID OF AGE,M
310(B),PC,MINOR ATTEND BIRD FIGHT,M
308(B),PC,FL TO POST TOBAC NTC REQ,I
310(A),PC,MNR ATTEND/ADMT PRIZFIGHT,M
187(A),PC,MURDER,F
3009,FG,KILL/INJ PERSON W/HUNTING,F
192(A),PC,VOLUNTARY MANSLAUGHTER,F
192(B),PC,INVOLUNTARY MANSLAUGHTER,F
192(C)(1),PC,VEH MANSL W/GROSS NEG,F
192(C)(2),PC,VEH MANSL W/O GROSS NEG,M
187(A),PC,MURDER:FIRST DEGREE,F
187(A),PC,MURDER:SECOND DEGREE,F
191.5(A),PC,GR VEH MANSL WHILE INTOX,F
399.5(A),PC,DOG FIGHT-TRAIND CAUS INJ,M
192.5(A),PC,VEH MNSL W/VESSL W/GR NEG,F
192.5(B),PC,VEH MNSL W/VES W/O GR NEG,M
18 930,US,ATEMPT/MURDER:FED FACILTY,F
399.5(A),PC,DOG TRAINED:FIGHT/ETC:INJ,F
191.5(B),PC,VEH MANSL WHILE INTOXICAT,F
191.5(B),PC,VEH MANSL WHILE INTOXICAT,M
192(C)(1),PC,VEH MANSL W/GROSS NEGLNCE,M
192(C)(3),PC,VEH MNSL:CAUSE ACC F/GAIN,F
192.5(B),PC,VEH MNSL W/VES W/O GR NEG,F
192.5(C),PC,V/MNSL:VESS WITH/GRS NEGL,F
192.5(C),PC,VEH MNSL:VES W/GROS NEGL,M
192.5(D),PC,VEH MNSL:VESS:W/O GRS NEG,M
151(A)(1),PC,ADVOC KILL/INJ PO W/O INJ,M
151(A)(2),PC,ADVOC KILL/INJ PO W/INJ,F
399(B),PC,OWNER/ETC: ANIMAL SBI/DTH,F
399(B),PC,OWNER/ETC: ANML CAUSE SBI,M
399(A),PC,OWNER NEG: ANML CAUS DTH,F
265,PC,ABDUCT WOMEN FOR MARRIAGE,F
278,PC,CHILD STEALING,F
209(A),PC,KIDNAPPING FOR RANSOM,F
207(A),PC,KIDNAPPING,F
207(B),PC,KIDNAP -14 TO COM L&L,F
18 1201,US,KIDNAPPING,F
207(D),PC,KIDNAP:FORC/ETC:INTO CA,F
209.5(A),PC,KIDNAP DURING CARJACKING,F
209.5(B),PC,KIDNAP/CARJACK:VICT MOVED,F
209(B)(1),PC,KIDNAP TO COMMIT RAPE,F
209(B)(1),PC,KIDNAP TO COMMIT ROBBERY,F
278,PC,CHILD STEALING,M
4503,PC,INMAT HLD HOSTAGE IN PRSN,F
207(C),PC,KIDNAP: FRC/ETC OUT OF ST,F
243.4(B),PC,SEX BAT:MEDICLY INST PRSN,F
261(A)(1),PC,RAPE:VICT INCPBL OF CNSNT,F
261(A)(2),PC,RAPE BY FORCE/FEAR/ETC,F
261(A)(4),PC,RAPE:VICT UNCONSC OF ACT,F
261(A)(6),PC,RAPE:THREAT RETALIATION,F
269(A)(5),PC,AGG SEX ASLT:MNR:FRGN OBJ,F
243.4(C),PC,SEXUAL BATT:UNCONS PERSON,F
243.4(C),PC,SEXUAL BATT:UNCONS PERSON,M
243.4(E)(1),PC,SEXUAL BATT:SEX AROUSAL,M
243.4(J),PC,SEXUAL BATT:W/PR FEL CONV,F
220(B),PC,ASLT:INTENT RAPE IN 459,F
243.4(B),PC,SEX BATT:MED INST PERSON,M
289(A)(1)(A),PC,SEX PENETRATION:FORCE/ETC,F
286.5(A),PC,SEXUAL CONTACT W/ANIMAL,M
266B,PC,ABDUCT BY FRC ILCIT RELTN,F
243.4(A),PC,SEXUAL BATT BY RESTRAINT,F
261(A)(3),PC,RAPE BY USE OF DRUGS,F
269(A)(1),PC,AGG SX ASSLT MNR -14 RAPE,F
243.4(A),PC,SEXUAL BATT BY RESTRAINT,M
269(A)(4),PC,AGG SX ASSLT MNR -14 ORAL,F
289(A)(2),PC,SEX PEN THRT RETALIATION,F
269(A)(3),PC,AGG SX ASSLT MNR-14 SODMY,F
269(A)(2),PC,AGG SX ASSLT MNR-14 CNCRT,F
220(A)(1),PC,ASSAULT W/INT TO RAPE/ETC,F
264.1(A),PC,RAPE FRC/VIOL IN CONCERT,F
264.1(B)(1),PC,RAPE FRC CONCERT CHLD -14,F
264.1(B)(2),PC,RAPE FRC CONCERT CHLD 14+,F
289(A)(1)(B),PC,SEX PEN W/FORCE/ETC -14,F
289(A)(1)(C),PC,SEX PEN W/FORCE/ETC 14+,F
243.4(D),PC,SEXUAL BATT INV MASTURBTN,F
243.4(D),PC,SEXUAL BATT INV MASTURBTN,M
261(A)(5),PC,RAPE UNDER BELIEF KNOWN,F
261(A)(7),PC,RAPE BY THREAT ARR/DEPORT,F
220(A)(2),PC,ASSLT W/INT TO RAPE -18,F
211,PC,ROBBERY,F
214,PC,TRAIN ROBBERY,F
211,PC,ROBBERY:FIRST DEGREE,F
211,PC,ROBBERY:SECOND DEGREE,F
18 2113(A),US,BANK/ETC ROBBERY,F
213(A)(1)(A),PC,ROB 1:INHAB DWELL:CONCERT,F
211,PC,ROBBERY 1ST DEG HOME INV,F
149,PC,ASSAULT BY PUBLIC OFFICER,F
203,PC,MAYHEM,F
218,PC,ATTEMPT TRAIN WRECKING,F
219.2,PC,THROW OBJECT AT TRAIN,F
219.3,PC,THROW OBJ FROM TOLL BRIDG,M
222,PC,GIVE DRUGS AID IN FELONY,F
240,PC,ASSAULT ON PERSON,M
242,PC,BATTERY ON PERSON,M
23110(B),VC,THROW SUB AT VEH:INT:GBI,F
23110(A),VC,THROW SUBSTANCE AT VEH,M
243.1,PC,BATT ON CUSTODIAL OFFICER,F
243(B),PC,BATT PO/EMERG PRSNL/ETC,M
243(A),PC,BATTERY ON PERSON,M
243(D),PC,BATT W/SERIOUS BODILY INJ,F
241(A),PC,ASSAULT ON PERSON,M
245(A)(2),PC,ASLT W/FIREARM ON PERSON,F
241.1,PC,ASLT ON CUSTODIAL OFFICER,F
245.3,PC,ADW ON CUSTODIAL OFF:GBI,F
246,PC,SHOOT:INHAB DWELL/VEH/ETC,F
217.1(A),PC,ASSAULT PUBLIC OFFICIAL,F
217.1(B),PC,ATT MURDER PUB OFCL,F
245.2,PC,ADW TRANSP PRSNL/ETC,F
241.4,PC,ASLT SCHOOL DISTRICT PO,F
219.2,PC,THROW/ETC OBJECT AT TRAIN,M
205,PC,AGGRAVATED MAYHEM,F
245(C),PC,ADW NOT F/ARM:PO/FIRE:GBI,F
243.6,PC,BATT ON SCHOOL EMP W/INJ,F
245.5(A),PC,ADW/GBI SCHL EMP:NO F/ARM,F
245.5(B),PC,ASLT SCHOOL EMP W/FIREARM,F
245.5(C),PC,ASLT SCH EMP W/STUN GUN,F
206,PC,TORTURE,F
245(D)(3),PC,ASLT PO W/MACHINEGUN/ETC,F
241.6,PC,ASLT ON SCHOOL EMPLOYEE,M
247(A),PC,SHOOT AT UNOCC AIRCRAFT,F
245(A)(3),PC,ASLT W/MACHINEGUN ON PRSN,F
1768.8(B),WI,ASLT ON NON-PRISONER:GBI,F
247(B),PC,SHOOT UNOC DWELL/VEH/ETC,F
241.7,PC,ASSAULT ON JURORS,F
247.5,PC,DSCHRG LASER:OCC AIRCRAFT,F
242,PC,BATT W/SERIOUS BODILY INJ,F
245(B),PC,ASLT PRSN:SEMIAUTO F/ARM,F
243.3,PC,BAT:TRNSPORT PRSNL/PASNGR,M
243.3,PC,BAT W/INJ:TRNS WRKR/PSNGR,F
243.8(A),PC,BATT AGAINST SPORTS OFCL,M
243.7,PC,BATTERY AGAINST JUROR/ETC,F
241.3(A),PC,ASLT PRSN:PUB TRANSP/ETC,M
243.35(A),PC,BATT PRSN:PUB TRANSP/ETC,M
242,PC,BAT:SPOUSE/EX SP/DATE/ETC,M
243(E)(1),PC,BAT:SPOUSE/EX SP/DATE/ETC,M
242,PC,BATTERY,F
242,PC,BAT W/SERIOUS BODILY INJ,M
243(D),PC,BATERY:SERIOUS BODILY INJ,M
243(C)(2),PC,BATTERY AGAINST PO,F
242,PC,BAT EMERGENCY PERSON/ETC,F
242,PC,BAT AGAINST PEACE OFFICER,F
18 115,US,INFLU/ETC FED OFCL:FAMILY,F
248,PC,IMPAIR AIRCRAFT:LIGHT/ETC,M
247.5,PC,DISCH LASER:OCC AIRCRAFT,M
4501.1(A),PC,AGG BAT:GASSING BY PRISNR,F
243.9(A),PC,BATT/GASSING PO/ETC EMP,M
243.9(A),PC,BATT/GASSING PO/ETC EMP,F
246,PC,SHOOT:INHAB DWELL/VEH/ETC,M
241.1,PC,ASLT ON CUSTODIAL OFFICER,M
1768.85(A),WI,BATT/GASSING PO/ETC EMP,M
1768.85(A),WI,BATT/GASSING PO/ETC EMP,F
243.2(A)(1),PC,BATT ON PRSN:SCH/HOSP/ETC,M
241.4,PC,ASLT SCHOOL DISTRICT PO,M
243(C)(2),PC,BATTERY AGAINST PO,M
245(A)(2),PC,ASLT W/FIREARM ON PERSON,M
243.25,PC,BATT:ELDER/DEP ADULT,M
18 113(A)(5),US,SIMPLE ASSAULT:MAR JURIS,M
241(C),PC,ASLT PO/FIREFIGHTER/ETC,M
241.5(A),PC,ASLT ON HIGHWAY WORKER,M
